0.010000,0.000000,0.000000
0.019913,0.010000,0.010000
0.029790,0.020000,0.019913
0.039640,0.030000,0.029790
0.049467,0.040000,0.039640
0.059274,0.050000,0.049467
0.069062,0.060000,0.059274
0.078834,0.070000,0.069062
0.088590,0.080000,0.078834
0.098331,0.090000,0.088590
0.108058,0.100000,0.098331
0.117773,0.110000,0.108058
0.127474,0.120000,0.117773
0.137164,0.130000,0.127474
0.146842,0.140000,0.137164
0.156509,0.150000,0.146842
0.166165,0.160000,0.156509
0.175811,0.170000,0.166165
0.185446,0.180000,0.175811
0.195072,0.190000,0.185446
0.204688,0.200000,0.195072
0.214295,0.210000,0.204688
0.223892,0.220000,0.214295
0.233481,0.230000,0.223892
0.243061,0.240000,0.233481
0.252632,0.250000,0.243061
0.262195,0.260000,0.252632
0.271750,0.270000,0.262195
0.281297,0.280000,0.271750
0.290836,0.290000,0.281297
0.300367,0.300000,0.290836
0.309891,0.310000,0.300367
0.319407,0.320000,0.309891
0.328916,0.330000,0.319407
0.338417,0.340000,0.328916
0.347912,0.350000,0.338417
0.357399,0.360000,0.347912
0.366879,0.370000,0.357399
0.376353,0.380000,0.366879
0.385819,0.390000,0.376353
0.395279,0.400000,0.385819
0.404733,0.410000,0.395279
0.414180,0.420000,0.404733
0.423620,0.430000,0.414180
0.433055,0.440000,0.423620
0.442483,0.450000,0.433055
0.451904,0.460000,0.442483
0.461320,0.470000,0.451904
0.470730,0.480000,0.461320
0.480133,0.490000,0.470730
0.489531,0.500000,0.480133
0.498923,0.510000,0.489531
0.508309,0.520000,0.498923
0.517689,0.530000,0.508309
0.527063,0.540000,0.517689
0.536432,0.550000,0.527063
0.545796,0.560000,0.536432
0.555153,0.570000,0.545796
0.564506,0.580000,0.555153
0.573853,0.590000,0.564506
0.583194,0.600000,0.573853
0.592530,0.610000,0.583194
0.601861,0.620000,0.592530
0.611187,0.630000,0.601861
0.620507,0.640000,0.611187
0.629822,0.650000,0.620507
0.639133,0.660000,0.629822
0.648438,0.670000,0.639133
0.657738,0.680000,0.648438
0.667033,0.690000,0.657738
0.676323,0.700000,0.667033
0.685608,0.710000,0.676323
0.694888,0.720000,0.685608
0.704163,0.730000,0.694888
0.713434,0.740000,0.704163
0.722700,0.750000,0.713434
0.731961,0.760000,0.722700
0.741217,0.770000,0.731961
0.750469,0.780000,0.741217
0.759716,0.790000,0.750469
0.768958,0.800000,0.759716
0.778196,0.810000,0.768958
0.787429,0.820000,0.778196
0.796657,0.830000,0.787429
0.805882,0.839999,0.796657
