Detik; Hasil
0.285; 0.000
0.286; 0.000
0.287; 0.000
0.288; 0.000
0.289; 0.000
0.290; 0.000
0.291; 0.000
0.292; 0.000
0.293; 0.000
0.294; 0.000
0.295; 0.000
0.296; 0.000
0.297; 0.000
0.298; 0.000
0.299; 0.000
0.300; 0.000
0.301; 0.000
0.302; 0.000
0.303; 0.000
0.304; 0.000
0.305; 0.000
0.306; 0.000
0.307; 0.000
0.308; 0.000
0.309; 0.000
0.310; 0.000
0.311; 0.000
0.312; 0.000
0.313; 0.000
0.314; 0.000
0.315; 0.000
0.316; 0.000
0.317; 0.000
0.318; 0.000
0.319; 0.000
0.320; 0.000
0.321; 0.000
0.322; 0.000
0.323; 0.000
0.324; 0.000
0.325; 0.000
0.326; 0.000
0.327; 0.000
0.328; 0.000
0.329; 0.000
0.330; 0.000
0.331; 0.000
0.332; 0.000
0.333; 0.000
0.334; 0.000
0.335; 0.000
0.336; 0.000
0.337; 0.000
0.338; 0.000
0.339; 0.000
0.340; 0.000
0.341; 0.000
0.342; 0.000
0.343; 0.000
0.344; 0.000
0.345; 0.000
0.346; 0.000
0.347; 0.000
0.348; 0.000
0.349; 0.000
0.350; 0.000
0.351; 0.000
0.352; 0.000
0.353; 0.000
0.354; 0.000
0.355; 0.000
0.356; 0.000
0.357; 0.000
0.358; 0.000
0.359; 0.000
0.360; 0.000
0.361; 0.000
0.362; 0.000
0.363; 0.000
0.364; 0.000
0.365; 0.000
0.366; 0.000
0.367; 0.000
0.368; 0.000
0.369; 0.000
0.370; 0.000
0.371; 0.000
0.372; 0.000
0.373; 0.000
0.374; 0.000
0.375; 0.000
0.376; 0.000
0.377; 0.000
0.378; 0.000
0.379; 0.000
0.380; 0.000
0.381; 0.000
0.382; 0.000
0.383; 0.000
0.384; 0.000
0.385; 0.000
0.386; 0.000
0.387; 0.000
0.388; 0.000
0.389; 0.000
0.390; 0.000
0.391; 0.000
0.392; 0.000
0.393; 0.000
0.394; 0.000
0.395; 0.000
0.396; 0.000
0.397; 0.000
0.398; 0.000
0.399; 0.000
0.400; 0.000
0.401; 0.000
0.402; 0.000
0.403; 0.000
0.404; 0.000
0.405; 0.000
0.406; 0.000
0.407; 0.000
0.408; 0.000
0.409; 0.000
0.410; 0.000
0.411; 0.000
0.412; 0.000
0.413; 0.000
0.414; 0.000
0.415; 0.000
0.416; 0.000
0.417; 0.000
0.418; 0.000
0.419; 0.000
0.420; 0.000
0.421; 0.000
0.422; 0.000
0.423; 0.000
0.424; 0.000
0.425; 0.000
0.426; 0.000
0.427; 0.000
0.428; 0.000
0.429; 0.000
0.430; 0.000
0.431; 0.000
0.432; 0.000
0.433; 0.000
0.434; 0.000
0.435; 0.000
0.436; 0.000
0.437; 0.000
0.438; 0.000
0.439; 0.000
0.440; 0.000
0.441; 0.000
0.442; 0.000
0.443; 0.000
0.444; 0.000
0.445; 0.000
0.446; 0.000
0.447; 0.000
0.448; 0.000
0.449; 0.000
0.450; 0.000
0.451; 0.000
0.452; 0.000
0.453; 0.000
0.454; 0.000
0.455; 0.000
0.456; 0.000
0.457; 0.000
0.458; 0.000
0.459; 0.000
0.460; 0.000
0.461; 0.000
0.462; 0.000
0.463; 0.000
0.464; 0.000
0.465; 0.000
0.466; 0.000
0.467; 0.000
0.468; 0.000
0.469; 0.000
0.470; 0.000
0.471; 0.000
0.472; 0.000
0.473; 0.000
0.474; 0.000
0.475; 0.000
0.476; 0.000
0.477; 0.000
0.478; 0.000
0.479; 0.000
0.480; 0.000
0.481; 0.000
0.482; 0.000
0.483; 0.000
0.484; 0.000
0.485; 0.000
0.486; 0.000
0.487; 0.000
0.488; 0.000
0.489; 0.000
0.490; 0.000
0.491; 0.000
0.492; 0.000
0.493; 0.000
0.494; 0.000
0.495; 0.000
0.496; 0.000
0.497; 0.000
0.498; 0.000
0.499; 0.000
0.500; 0.000
0.501; 0.000
0.502; 0.000
0.503; 0.000
0.504; 0.000
0.505; 0.000
0.506; 0.000
0.507; 0.000
0.508; 0.000
0.509; 0.000
0.510; 0.000
0.511; 0.000
0.512; 0.000
0.513; 0.000
0.514; 0.000
0.515; 0.000
0.516; 0.000
0.517; 0.000
0.518; 0.000
0.519; 0.000
0.520; 0.000
0.521; 0.000
0.522; 0.000
0.523; 0.000
0.524; 0.000
0.525; 0.000
0.526; 0.000
0.527; 0.000
0.528; 0.000
0.529; 0.000
0.530; 0.000
0.531; 0.000
0.532; 0.000
0.533; 0.000
0.534; 0.000
0.535; 0.000
0.536; 0.000
0.537; 0.000
0.538; 0.000
0.539; 0.000
0.540; 0.000
0.541; 0.000
0.542; 0.000
0.543; 0.000
0.544; 0.000
0.545; 0.000
0.546; 0.000
0.547; 0.000
0.548; 0.000
0.549; 0.000
0.550; 0.000
0.551; 0.000
0.552; 0.000
0.553; 0.000
0.554; 0.000
0.555; 0.000
0.556; 0.000
0.557; 0.000
0.558; 0.000
0.559; 0.000
0.560; 0.000
0.561; 0.000
0.562; 0.000
0.563; 0.000
0.564; 0.000
0.565; 0.000
0.566; 0.000
0.567; 0.000
0.568; 0.000
0.569; 0.000
0.570; 0.000
0.571; 0.000
0.572; 0.000
0.573; 0.000
0.574; 0.000
0.575; 0.000
0.576; 0.000
0.577; 0.000
0.578; 0.000
0.579; 0.000
0.580; 0.000
0.581; 0.000
0.582; 0.000
0.583; 0.000
0.584; 0.000
0.585; 0.000
0.586; 0.000
0.587; 0.000
0.588; 0.000
0.589; 0.000
0.590; 0.000
0.591; 0.000
0.592; 0.000
0.593; 0.000
0.594; 0.000
0.595; 0.000
0.596; 0.000
0.597; 0.000
0.598; 0.000
0.599; 0.000
0.600; 0.000
0.601; 0.000
0.602; 0.000
0.603; 0.000
0.604; 0.000
0.605; 0.000
0.606; 0.000
0.607; 0.000
0.608; 0.000
0.609; 0.000
0.610; 0.000
0.611; 0.000
0.612; 0.000
0.613; 0.000
0.614; 0.000
0.615; 0.000
0.616; 0.000
0.617; 0.000
0.618; 0.000
0.619; 0.000
0.620; 0.000
0.621; 0.000
0.622; 0.000
0.623; 0.000
0.624; 0.000
0.625; 0.000
0.626; 0.000
0.627; 0.000
0.628; 0.000
0.629; 0.000
0.630; 0.000
0.631; 0.000
0.632; 0.000
0.633; 0.000
0.634; 0.000
0.635; 0.000
0.636; 0.000
0.637; 0.000
0.638; 0.000
0.639; 0.000
0.640; 0.000
0.641; 0.000
0.642; 0.000
0.643; 0.000
0.644; 0.000
0.645; 0.000
0.646; 0.000
0.647; 0.000
0.648; 0.000
0.649; 0.000
0.650; 0.000
0.651; 0.000
0.652; 0.000
0.653; 0.000
0.654; 0.000
0.655; 0.000
0.656; 0.000
0.657; 0.000
0.658; 0.000
0.659; 0.000
0.660; 0.000
0.661; 0.000
0.662; 0.000
0.663; 0.000
0.664; 0.000
0.665; 0.000
0.666; 0.000
0.667; 0.000
0.668; 0.000
0.669; 0.000
0.670; 0.000
0.671; 0.000
0.672; 0.000
0.673; 0.000
0.674; 0.000
0.675; 0.000
0.676; 0.000
0.677; 0.000
0.678; 0.000
0.679; 0.000
0.680; 0.000
0.681; 0.000
0.682; 0.000
0.683; 0.000
0.684; 0.000
0.685; 0.000
0.686; 0.000
0.687; 0.000
0.688; 0.000
0.689; 0.000
0.690; 0.000
0.691; 0.000
0.692; 0.000
0.693; 0.000
0.694; 0.000
0.695; 0.000
0.696; 0.000
0.697; 0.000
0.698; 0.000
0.699; 0.000
0.700; 0.000
0.701; 0.000
0.702; 0.000
0.703; 0.000
0.704; 0.000
0.705; 0.000
0.706; 0.000
0.707; 0.000
0.708; 0.000
0.709; 0.000
0.710; 0.000
0.711; 0.000
0.712; 0.000
0.713; 0.000
0.714; 0.000
0.715; 0.000
0.716; 0.000
0.717; 0.000
0.718; 0.000
0.719; 0.000
0.720; 0.000
0.721; 0.000
0.722; 0.000
0.723; 0.000
0.724; 0.000
0.725; 0.000
0.726; 0.000
0.727; 0.000
0.728; 0.000
0.729; 0.000
0.730; 0.000
0.731; 0.000
0.732; 0.000
0.733; 0.000
0.734; 0.000
0.735; 0.000
0.736; 0.000
0.737; 0.000
0.738; 0.000
0.739; 0.000
0.740; 0.000
0.741; 0.000
0.742; 0.000
0.743; 0.000
0.744; 0.000
0.745; 0.000
0.746; 0.000
0.747; 0.000
0.748; 0.000
0.749; 0.000
0.750; 0.000
0.751; 0.000
0.752; 0.000
0.753; 0.000
0.754; 0.000
0.755; 0.000
0.756; 0.000
0.757; 0.000
0.758; 0.000
0.759; 0.000
0.760; 0.000
0.761; 0.000
0.762; 0.000
0.763; 0.000
0.764; 0.000
0.765; 0.000
0.766; 0.000
0.767; 0.000
0.768; 0.000
0.769; 0.000
0.770; 0.000
0.771; 0.000
0.772; 0.000
0.773; 0.000
0.774; 0.000
0.775; 0.000
0.776; 0.000
0.777; 0.000
0.778; 0.000
0.779; 0.000
0.780; 0.000
0.781; 0.000
0.782; 0.000
0.783; 0.000
0.784; 0.000
0.785; 0.000
0.786; 0.000
0.787; 0.000
0.788; 0.000
0.789; 0.000
0.790; 0.000
0.791; 0.000
0.792; 0.000
0.793; 0.000
0.794; 0.000
0.795; 0.000
0.796; 0.000
0.797; 0.000
0.798; 0.000
0.799; 0.000
0.800; 0.000
0.801; 0.000
0.802; 0.000
0.803; 0.000
0.804; 0.000
0.805; 0.000
0.806; 0.000
0.807; 0.000
0.808; 0.000
0.809; 0.000
0.810; 0.000
0.811; 0.000
0.812; 0.000
0.813; 0.000
0.814; 0.000
0.815; 0.000
0.816; 0.000
0.817; 0.000
0.818; 0.000
0.819; 0.000
0.820; 0.000
0.821; 0.000
0.822; 0.000
0.823; 0.000
0.824; 0.000
0.825; 0.000
0.826; 0.000
0.827; 0.000
0.828; 0.000
0.829; 0.000
0.830; 0.000
0.831; 0.000
0.832; 0.000
0.833; 0.000
0.834; 0.000
0.835; 0.000
0.836; 0.000
0.837; 0.000
0.838; 0.000
0.839; 0.000
0.840; 0.000
0.841; 0.000
0.842; 0.000
0.843; 0.000
0.844; 0.000
0.845; 0.000
0.846; 0.000
0.847; 0.000
0.848; 0.000
0.849; 0.000
0.850; 0.000
0.851; 0.000
0.852; 0.000
0.853; 0.000
0.854; 0.000
0.855; 0.000
0.856; 0.000
0.857; 0.000
0.858; 0.000
0.859; 0.000
0.860; 0.000
0.861; 0.000
0.862; 0.000
0.863; 0.000
0.864; 0.000
0.865; 0.000
0.866; 0.000
0.867; 0.000
0.868; 0.000
0.869; 0.000
0.870; 0.000
0.871; 0.000
0.872; 0.000
0.873; 0.000
0.874; 0.000
0.875; 0.000
0.876; 0.000
0.877; 0.000
0.878; 0.000
0.879; 0.000
0.880; 0.000
0.881; 0.000
0.882; 0.000
0.883; 0.000
0.884; 0.000
0.885; 0.000
0.886; 0.000
0.887; 0.000
0.888; 0.000
0.889; 0.000
0.890; 0.000
0.891; 0.000
0.892; 0.000
0.893; 0.000
0.894; 0.000
0.895; 0.000
0.896; 0.000
0.897; 0.000
0.898; 0.000
0.899; 0.000
0.900; 0.000
0.901; 0.000
0.902; 0.000
0.903; 0.000
0.904; 0.000
0.905; 0.000
0.906; 0.000
0.907; 0.000
0.908; 0.000
0.909; 0.000
0.910; 0.000
0.911; 0.000
0.912; 0.000
0.913; 0.000
0.914; 0.000
0.915; 0.000
0.916; 0.000
0.917; 0.000
0.918; 0.000
0.919; 0.000
0.920; 0.000
0.921; 0.000
0.922; 0.000
0.923; 0.000
0.924; 0.000
0.925; 0.000
0.926; 0.000
0.927; 0.000
0.928; 0.000
0.929; 0.000
0.930; 0.000
0.931; 0.000
0.932; 0.000
0.933; 0.000
0.934; 0.000
0.935; 0.000
0.936; 0.000
0.937; 0.000
0.938; 0.000
0.939; 0.000
0.940; 0.000
0.941; 0.000
0.942; 0.000
0.943; 0.000
0.944; 0.000
0.945; 0.000
0.946; 0.000
0.947; 0.000
0.948; 0.000
0.949; 0.000
0.950; 0.000
0.951; 0.000
0.952; 0.000
0.953; 0.000
0.954; 0.000
0.955; 0.000
0.956; 0.000
0.957; 0.000
0.958; 0.000
0.959; 0.000
0.960; 0.000
0.961; 0.000
0.962; 0.000
0.963; 0.000
0.964; 0.000
0.965; 0.000
0.966; 0.000
0.967; 0.000
0.968; 0.000
0.969; 0.000
0.970; 0.000
0.971; 0.000
0.972; 0.000
0.973; 0.000
0.974; 0.000
0.975; 0.000
0.976; 0.000
0.977; 0.000
0.978; 0.000
0.979; 0.000
0.980; 0.000
0.981; 0.000
0.982; 0.000
0.983; 0.000
0.984; 0.000
0.985; 0.000
0.986; 0.000
0.987; 0.000
0.988; 0.000
0.989; 0.000
0.990; 0.000
0.991; 0.000
0.992; 0.000
0.993; 0.000
0.994; 0.000
0.995; 0.000
0.996; 0.000
0.997; 0.000
0.998; 0.000
0.999; 0.000
1.000; 0.000
1.001; 0.001
1.002; 0.001
1.003; 0.003
1.004; 0.005
1.005; 0.007
1.006; 0.010
1.007; 0.014
1.008; 0.018
1.009; 0.022
1.010; 0.027
1.011; 0.033
1.012; 0.039
1.013; 0.045
1.014; 0.052
1.015; 0.060
1.016; 0.068
1.017; 0.076
1.018; 0.085
1.019; 0.094
1.020; 0.104
1.021; 0.115
1.022; 0.126
1.023; 0.137
1.024; 0.149
1.025; 0.161
1.026; 0.174
1.027; 0.187
1.028; 0.201
1.029; 0.215
1.030; 0.230
1.031; 0.246
1.032; 0.261
1.033; 0.278
1.034; 0.294
1.035; 0.311
1.036; 0.329
1.037; 0.347
1.038; 0.366
1.039; 0.385
1.040; 0.405
1.041; 0.425
1.042; 0.445
1.043; 0.466
1.044; 0.488
1.045; 0.510
1.046; 0.532
1.047; 0.555
1.048; 0.579
1.049; 0.603
1.050; 0.627
1.051; 0.652
1.052; 0.677
1.053; 0.703
1.054; 0.729
1.055; 0.756
1.056; 0.783
1.057; 0.811
1.058; 0.839
1.059; 0.868
1.060; 0.897
1.061; 0.927
1.062; 0.957
1.063; 0.987
1.064; 1.018
1.065; 1.050
1.066; 1.082
1.067; 1.114
1.068; 1.147
1.069; 1.180
1.070; 1.214
1.071; 1.248
1.072; 1.283
1.073; 1.318
1.074; 1.354
1.075; 1.390
1.076; 1.426
1.077; 1.463
1.078; 1.501
1.079; 1.539
1.080; 1.577
1.081; 1.616
1.082; 1.656
1.083; 1.695
1.084; 1.736
1.085; 1.776
1.086; 1.818
1.087; 1.859
1.088; 1.901
1.089; 1.944
1.090; 1.987
1.091; 2.030
1.092; 2.074
1.093; 2.118
1.094; 2.163
1.095; 2.209
1.096; 2.254
1.097; 2.300
1.098; 2.347
1.099; 2.394
1.100; 2.442
1.101; 2.490
1.102; 2.538
1.103; 2.587
1.104; 2.636
1.105; 2.686
1.106; 2.736
1.107; 2.787
1.108; 2.838
1.109; 2.890
1.110; 2.942
1.111; 2.994
1.112; 3.047
1.113; 3.100
1.114; 3.154
1.115; 3.208
1.116; 3.263
1.117; 3.318
1.118; 3.374
1.119; 3.430
1.120; 3.486
1.121; 3.543
1.122; 3.600
1.123; 3.658
1.124; 3.716
1.125; 3.775
1.126; 3.834
1.127; 3.893
1.128; 3.953
1.129; 4.014
1.130; 4.074
1.131; 4.136
1.132; 4.197
1.133; 4.259
1.134; 4.322
1.135; 4.385
1.136; 4.448
1.137; 4.512
1.138; 4.577
1.139; 4.641
1.140; 4.706
1.141; 4.772
1.142; 4.838
1.143; 4.904
1.144; 4.971
1.145; 5.038
1.146; 5.106
1.147; 5.174
1.148; 5.243
1.149; 5.312
1.150; 5.381
1.151; 5.451
1.152; 5.521
1.153; 5.592
1.154; 5.663
1.155; 5.735
1.156; 5.807
1.157; 5.879
1.158; 5.952
1.159; 6.025
1.160; 6.099
1.161; 6.173
1.162; 6.247
1.163; 6.322
1.164; 6.397
1.165; 6.473
1.166; 6.549
1.167; 6.626
1.168; 6.703
1.169; 6.780
1.170; 6.858
1.171; 6.936
1.172; 7.015
1.173; 7.094
1.174; 7.174
1.175; 7.253
1.176; 7.334
1.177; 7.414
1.178; 7.496
1.179; 7.577
1.180; 7.659
1.181; 7.741
1.182; 7.824
1.183; 7.907
1.184; 7.991
1.185; 8.075
1.186; 8.159
1.187; 8.244
1.188; 8.329
1.189; 8.415
1.190; 8.501
1.191; 8.587
1.192; 8.674
1.193; 8.761
1.194; 8.849
1.195; 8.937
1.196; 9.026
1.197; 9.114
1.198; 9.204
1.199; 9.293
1.200; 9.383
1.201; 9.474
1.202; 9.565
1.203; 9.656
1.204; 9.748
1.205; 9.840
1.206; 9.932
1.207; 10.025
1.208; 10.118
1.209; 10.212
1.210; 10.306
1.211; 10.400
1.212; 10.495
1.213; 10.590
1.214; 10.686
1.215; 10.782
1.216; 10.878
1.217; 10.975
1.218; 11.072
1.219; 11.170
1.220; 11.268
1.221; 11.366
1.222; 11.465
1.223; 11.564
1.224; 11.663
1.225; 11.763
1.226; 11.864
1.227; 11.964
1.228; 12.065
1.229; 12.167
1.230; 12.269
1.231; 12.371
1.232; 12.473
1.233; 12.576
1.234; 12.680
1.235; 12.784
1.236; 12.888
1.237; 12.992
1.238; 13.097
1.239; 13.202
1.240; 13.308
1.241; 13.414
1.242; 13.520
1.243; 13.627
1.244; 13.734
1.245; 13.842
1.246; 13.950
1.247; 14.058
1.248; 14.167
1.249; 14.276
1.250; 14.385
1.251; 14.495
1.252; 14.605
1.253; 14.716
1.254; 14.827
1.255; 14.938
1.256; 15.050
1.257; 15.162
1.258; 15.274
1.259; 15.387
1.260; 15.500
1.261; 15.614
1.262; 15.728
1.263; 15.842
1.264; 15.957
1.265; 16.072
1.266; 16.187
1.267; 16.303
1.268; 16.419
1.269; 16.535
1.270; 16.652
1.271; 16.769
1.272; 16.887
1.273; 17.005
1.274; 17.123
1.275; 17.242
1.276; 17.361
1.277; 17.480
1.278; 17.600
1.279; 17.720
1.280; 17.841
1.281; 17.962
1.282; 18.083
1.283; 18.204
1.284; 18.326
1.285; 18.448
1.286; 18.571
1.287; 18.694
1.288; 18.817
1.289; 18.941
1.290; 19.065
1.291; 19.190
1.292; 19.314
1.293; 19.439
1.294; 19.565
1.295; 19.691
1.296; 19.817
1.297; 19.943
1.298; 20.070
1.299; 20.197
1.300; 20.325
1.301; 20.453
1.302; 20.581
1.303; 20.710
1.304; 20.839
1.305; 20.968
1.306; 21.098
1.307; 21.228
1.308; 21.358
1.309; 21.489
1.310; 21.620
1.311; 21.751
1.312; 21.883
1.313; 22.015
1.314; 22.148
1.315; 22.280
1.316; 22.413
1.317; 22.547
1.318; 22.681
1.319; 22.815
1.320; 22.949
1.321; 23.084
1.322; 23.219
1.323; 23.355
1.324; 23.491
1.325; 23.627
1.326; 23.763
1.327; 23.900
1.328; 24.037
1.329; 24.175
1.330; 24.313
1.331; 24.451
1.332; 24.589
1.333; 24.728
1.334; 24.868
1.335; 25.007
1.336; 25.147
1.337; 25.287
1.338; 25.428
1.339; 25.569
1.340; 25.710
1.341; 25.851
1.342; 25.993
1.343; 26.135
1.344; 26.278
1.345; 26.421
1.346; 26.564
1.347; 26.707
1.348; 26.851
1.349; 26.995
1.350; 27.140
1.351; 27.284
1.352; 27.430
1.353; 27.575
1.354; 27.721
1.355; 27.867
1.356; 28.013
1.357; 28.160
1.358; 28.307
1.359; 28.454
1.360; 28.602
1.361; 28.750
1.362; 28.898
1.363; 29.047
1.364; 29.196
1.365; 29.345
1.366; 29.495
1.367; 29.645
1.368; 29.795
1.369; 29.946
1.370; 30.096
1.371; 30.248
1.372; 30.399
1.373; 30.551
1.374; 30.703
1.375; 30.855
1.376; 31.008
1.377; 31.161
1.378; 31.315
1.379; 31.468
1.380; 31.622
1.381; 31.777
1.382; 31.931
1.383; 32.086
1.384; 32.241
1.385; 32.397
1.386; 32.553
1.387; 32.709
1.388; 32.865
1.389; 33.022
1.390; 33.179
1.391; 33.337
1.392; 33.494
1.393; 33.652
1.394; 33.811
1.395; 33.969
1.396; 34.128
1.397; 34.287
1.398; 34.447
1.399; 34.607
1.400; 34.767
1.401; 34.927
1.402; 35.088
1.403; 35.249
1.404; 35.410
1.405; 35.572
1.406; 35.734
1.407; 35.896
1.408; 36.058
1.409; 36.221
1.410; 36.384
1.411; 36.547
1.412; 36.711
1.413; 36.875
1.414; 37.039
1.415; 37.204
1.416; 37.369
1.417; 37.534
1.418; 37.699
1.419; 37.865
1.420; 38.031
1.421; 38.197
1.422; 38.364
1.423; 38.531
1.424; 38.698
1.425; 38.865
1.426; 39.033
1.427; 39.201
1.428; 39.369
1.429; 39.538
1.430; 39.707
1.431; 39.876
1.432; 40.046
1.433; 40.215
1.434; 40.385
1.435; 40.556
1.436; 40.726
1.437; 40.897
1.438; 41.068
1.439; 41.240
1.440; 41.411
1.441; 41.583
1.442; 41.756
1.443; 41.928
1.444; 42.101
1.445; 42.274
1.446; 42.447
1.447; 42.621
1.448; 42.795
1.449; 42.969
1.450; 43.144
1.451; 43.319
1.452; 43.494
1.453; 43.669
1.454; 43.844
1.455; 44.020
1.456; 44.196
1.457; 44.373
1.458; 44.550
1.459; 44.726
1.460; 44.904
1.461; 45.081
1.462; 45.259
1.463; 45.437
1.464; 45.615
1.465; 45.794
1.466; 45.973
1.467; 46.152
1.468; 46.331
1.469; 46.511
1.470; 46.691
1.471; 46.871
1.472; 47.051
1.473; 47.232
1.474; 47.413
1.475; 47.594
1.476; 47.776
1.477; 47.957
1.478; 48.139
1.479; 48.322
1.480; 48.504
1.481; 48.687
1.482; 48.870
1.483; 49.053
1.484; 49.237
1.485; 49.421
1.486; 49.605
1.487; 49.789
1.488; 49.974
1.489; 50.158
1.490; 50.343
1.491; 50.529
1.492; 50.714
1.493; 50.900
1.494; 51.086
1.495; 51.273
1.496; 51.459
1.497; 51.646
1.498; 51.833
1.499; 52.021
1.500; 52.208
1.501; 52.396
1.502; 52.584
1.503; 52.773
1.504; 52.961
1.505; 53.150
1.506; 53.339
1.507; 53.529
1.508; 53.718
1.509; 53.908
1.510; 54.098
1.511; 54.289
1.512; 54.479
1.513; 54.670
1.514; 54.861
1.515; 55.052
1.516; 55.244
1.517; 55.436
1.518; 55.628
1.519; 55.820
1.520; 56.013
1.521; 56.205
1.522; 56.398
1.523; 56.592
1.524; 56.785
1.525; 56.979
1.526; 57.173
1.527; 57.367
1.528; 57.562
1.529; 57.756
1.530; 57.951
1.531; 58.146
1.532; 58.342
1.533; 58.537
1.534; 58.733
1.535; 58.929
1.536; 59.125
1.537; 59.322
1.538; 59.519
1.539; 59.716
1.540; 59.913
1.541; 60.111
1.542; 60.308
1.543; 60.506
1.544; 60.704
1.545; 60.903
1.546; 61.101
1.547; 61.300
1.548; 61.499
1.549; 61.698
1.550; 61.898
1.551; 62.098
1.552; 62.298
