-3, -3, -8, 10, 3, 10, -1, -2, -2, -9, 
-4, -8, -10, 10, -10, -5, 6, -6, -6, 0, 
8, 9, 5, 4, -9, -7, -4, -1, 4, 6, 
-6, 7, 4, 3, -2, 2, -3, -9, -10, 8, 
3, 4, -3, -10, -8, -5, 1, -6, -4, 6, 
-8, -5, -3, -9, -3, 7, -1, 4, -4, -3, 
9, -3, 2, 7, -2, -9, -10, -10, -1, 0, 
-3, 3, 9, 3, -10, -9, 4, 2, 10, -5, 
-4, 0, -10, -3, -2, 7, 8, 7, -7, -7, 
8, -2, 1, 6, 2, 10, 3, 2, 1, -7, 

-3, -2, 1, 6, 2, 10, 3, 2, 1, -9, 
0, -8, -10, -3, -2, 7, 8, 7, -6, -4, 
6, 4, 5, 3, -10, -9, 4, -1, 9, 8, 
8, -10, -9, 3, -2, -9, -3, 4, 7, -6, 
6, -4, -6, 1, -8, -5, -10, -3, 4, 3, 
-3, -4, 4, -1, -3, 7, -9, -3, -5, -8, 
0, -1, -10, 7, -2, 2, -10, 2, -3, 9, 
-5, 10, 9, 4, -9, -7, -4, 2, 3, -3, 
-7, 0, -10, 10, -10, -5, 6, -6, -7, -4, 
8, -3, -8, 10, 3, 10, -1, -2, -2, -7, 
