0.000000; 0.000000
0.001000; 0.454545
0.002000; 0.867769
0.003000;1.243.426
0.004000;1.584.933
0.005000;1.895.393
0.006000;2.177.630
0.007000;2.434.209
0.008000;2.667.463
0.009000;2.879.512
0.010000;3.072.284
0.011000;3.247.531
0.012000;3.406.846
0.013000;3.551.678
0.014000;3.683.344
0.015000;3.803.040
0.016000;3.911.854
0.017000;4.010.777
0.018000;4.100.706
0.019000;4.182.460
0.020000;4.256.782
0.021000;4.324.347
0.022000;4.385.770
0.023000;4.441.609
0.024000;4.492.372
0.025000;4.538.520
0.026000;4.580.473
0.027000;4.618.612
0.028000;4.653.283
0.029000;4.684.803
0.030000;4.713.457
0.031000;4.739.507
0.032000;4.763.188
0.033000;4.784.716
0.034000;4.804.287
0.035000;4.822.079
0.036000;4.838.254
0.037000;4.852.958
0.038000;4.866.326
0.039000;4.878.478
0.040000;4.889.525
0.041000;4.899.569
0.042000;4.908.699
0.043000;4.916.999
0.044000;4.924.544
0.045000;4.931.404
0.046000;4.937.640
0.047000;4.943.309
0.048000;4.948.463
0.049000;4.953.148
0.050000;4.957.407
0.051000;4.961.279
0.052000;4.964.799
0.053000;4.967.999
0.054000;4.970.909
0.055000;4.973.553
0.056000;4.975.957
0.057000;4.978.143
0.058000;4.980.130
0.059000;4.981.937
0.060000;4.983.579
0.061000;4.985.071
0.062000;4.986.429
0.063000;4.987.662
0.064000;4.988.784
0.065000;4.989.804
0.066000;4.990.731
0.067000;4.991.573
0.068000;4.992.339
0.069000;4.993.036
0.070000;4.993.669
0.071000;4.994.244
0.072000;4.994.768
0.073000;4.995.243
0.074000;4.995.676
0.075000;4.996.069
0.076000;4.996.426
0.077000;4.996.751
0.078000;4.997.046
0.079000;4.997.315
0.080000;4.997.559
0.081000;4.997.781
0.082000;4.997.983
0.083000;4.998.166
0.084000;4.998.333
0.085000;4.998.484
0.086000;4.998.622
0.087000;4.998.747
0.088000;4.998.861
0.089000;4.998.965
0.090000;4.999.059
0.091000;4.999.144
0.092000;4.999.222
0.093000;4.999.293
0.094000;4.999.357
0.095000;4.999.416
0.096000;4.999.469
0.097000;4.999.517
0.098000;4.999.561
0.099000;4.999.601
